排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio,score_pct,score_up,hot_score
173,其他电子Ⅱ,BK1223,17421.44,-25.51,-0.15,551577008000,5.28,17,16,中电港,10.0,33,0.515,0.6532258064516129,0.7237903225806451,0.688508064516129
172,其他电子Ⅲ,BK1336,17421.44,-25.51,-0.15,551577008000,5.28,17,16,中电港,10.0,33,0.515,0.6532258064516129,0.7237903225806451,0.688508064516129
171,医疗耗材,BK1604,4292.01,-5.64,-0.13,426339792000,2.03,27,26,英科医疗,10.25,53,0.509,0.657258064516129,0.717741935483871,0.6875
187,普钢,BK1226,714.83,-1.85,-0.26,492879456000,0.68,10,8,南钢股份,1.91,18,0.556,0.623991935483871,0.7459677419354839,0.6849798387096775
163,宠物食品,BK1507,1467.48,-0.92,-0.06,29800497000,1.58,2,2,中宠股份,1.33,4,0.5,0.6723790322580645,0.6814516129032258,0.6769153225806451
169,瓷砖地板,BK1538,1463.94,-1.51,-0.1,76608547000,2.44,6,6,爱丽家居,9.99,12,0.5,0.6622983870967742,0.6814516129032258,0.671875
121,文化用品,BK1542,2656.7,9.02,0.34,37717797000,1.67,2,3,齐心集团,3.58,5,0.4,0.7580645161290323,0.5786290322580645,0.6683467741935484
147,水泥制造,BK1464,2021.34,2.37,0.12,240088329000,0.65,5,6,宁夏建材,5.15,11,0.455,0.7056451612903226,0.6270161290322581,0.6663306451612904
176,综合乘用车,BK1520,2428.16,-4.64,-0.19,384012256000,0.81,3,3,长城汽车,2.47,6,0.5,0.6471774193548387,0.6814516129032258,0.6643145161290323
177,金融控股,BK1359,1932.99,-3.88,-0.2,239636961000,0.55,4,4,国投资本,1.07,8,0.5,0.6451612903225806,0.6814516129032258,0.6633064516129032
178,核力发电,BK1376,600.04,-1.26,-0.21,481567216000,0.26,1,1,中国广核,0.26,2,0.5,0.6411290322580645,0.6814516129032258,0.6612903225806451
148,水力发电,BK1380,3757.73,4.31,0.11,1121860000000,0.52,4,5,韶能股份,6.52,9,0.444,0.7036290322580645,0.6169354838709677,0.6602822580645161
