排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio
144,制冷空调设备,BK1400,4624.42,6.27,0.14,216420377000,3.16,10,10,申菱环境,5.89,20,0.5
145,锂,BK1621,19023.09,25.27,0.13,397574944000,5.59,4,4,永杉锂业,4.65,8,0.5
146,餐饮,BK1559,1320.61,1.71,0.13,10865566000,0.95,2,2,全 聚 德,1.26,4,0.5
147,水泥制造,BK1464,2021.34,2.37,0.12,240088329000,0.65,5,6,宁夏建材,5.15,11,0.455
148,水力发电,BK1380,3757.73,4.31,0.11,1121860000000,0.52,4,5,韶能股份,6.52,9,0.444
149,医院,BK1601,5952.2,5.69,0.1,186458259000,1.72,5,7,三博脑科,5.37,12,0.417
150,商业地产,BK1345,1157.86,1.01,0.09,177132290000,0.7,6,5,中国国贸,2.99,11,0.545
151,纯碱,BK1417,940.58,0.8,0.09,46269893000,2.07,2,2,博源化工,0.83,4,0.5
152,房屋建设Ⅲ,BK1470,1719.37,1.22,0.07,255995350000,0.53,4,2,陕建股份,1.44,6,0.667
153,房屋建设Ⅱ,BK1246,1719.37,1.22,0.07,255995350000,0.53,4,2,陕建股份,1.44,6,0.667
154,广告媒体,BK1292,2074.97,1.03,0.05,79929268000,1.46,1,2,分众传媒,3.27,3,0.333
155,超市,BK1552,1562.19,0.77,0.05,64729303000,1.95,3,4,家家悦,2.12,7,0.429
156,白色家电,BK1239,3281.54,0.81,0.02,1095506048000,1.06,8,3,长虹美菱,3.23,11,0.727
157,旅游及景区,BK1272,2802.93,0.66,0.02,123890147000,1.34,10,12,西藏旅游,5.4,22,0.455
158,板材,BK1367,778.47,-0.1,-0.01,450786208000,0.68,9,4,南钢股份,1.91,13,0.692
159,油品石化贸易,BK1571,3193.91,-0.56,-0.02,31122703000,2.64,2,4,恒通股份,2.76,6,0.333
160,烘焙食品,BK1582,693.92,-0.23,-0.03,38352077000,1.05,3,6,西麦食品,3.28,9,0.333
161,房地产,BK1202,1854.56,-0.79,-0.04,904009856000,1.59,37,58,金科股份,10.0,95,0.389
162,其他石化,BK1570,2764.93,-1.42,-0.05,116923923000,2.14,6,8,桐昆股份,4.2,14,0.429
163,宠物食品,BK1507,1467.48,-0.92,-0.06,29800497000,1.58,2,2,中宠股份,1.33,4,0.5
164,个护用品,BK1251,591.24,-0.38,-0.06,69533557000,1.12,5,8,洁雅股份,9.55,13,0.385
165,商用载客车,BK1531,3176.01,-2.47,-0.08,84485179000,1.45,1,4,宇通客车,1.49,5,0.2
166,啤酒,BK1577,2249.97,-1.79,-0.08,149214732000,0.77,3,4,青岛啤酒,1.84,7,0.429
167,硅料硅片,BK1319,2119.43,-1.79,-0.08,97579324000,4.21,3,2,双良节能,2.78,5,0.6
168,氯碱,BK1418,2131.82,-2.03,-0.1,151456898000,2.12,8,7,航锦科技,5.01,15,0.533
169,瓷砖地板,BK1538,1463.94,-1.51,-0.1,76608547000,2.44,6,6,爱丽家居,9.99,12,0.5
170,轮胎轮毂,BK1527,2809.32,-3.19,-0.11,241345654000,1.74,9,12,赛轮轮胎,5.78,21,0.429
171,医疗耗材,BK1604,4292.01,-5.64,-0.13,426339792000,2.03,27,26,英科医疗,10.25,53,0.509
172,其他电子Ⅲ,BK1336,17421.44,-25.51,-0.15,551577008000,5.28,17,16,中电港,10.0,33,0.515
173,其他电子Ⅱ,BK1223,17421.44,-25.51,-0.15,551577008000,5.28,17,16,中电港,10.0,33,0.515
174,水产养殖,BK1514,558.96,-0.85,-0.15,10319381000,1.49,1,2,獐子岛,0.65,3,0.333
175,工程机械整机,BK1393,4323.76,-7.78,-0.18,557530080000,1.29,10,11,山推股份,5.72,21,0.476
176,综合乘用车,BK1520,2428.16,-4.64,-0.19,384012256000,0.81,3,3,长城汽车,2.47,6,0.5
177,金融控股,BK1359,1932.99,-3.88,-0.2,239636961000,0.55,4,4,国投资本,1.07,8,0.5
178,核力发电,BK1376,600.04,-1.26,-0.21,481567216000,0.26,1,1,中国广核,0.26,2,0.5
179,水泥,BK0424,25380.11,-54.6,-0.21,269093824000,0.82,7,13,宁夏建材,5.15,20,0.35
180,医疗器械,BK1041,906.03,-1.95,-0.21,1228480432000,1.91,61,73,英科医疗,10.25,134,0.455
181,体外诊断,BK1603,3239.1,-7.12,-0.22,237432222000,1.55,18,22,博拓生物,9.86,40,0.45
